place,category,x,y,address
빙츄르 강남본점,음식점 > 카페 > 테마카페 > 디저트카페,37.5112986208879,127.028247258492,서울 강남구 논현동 133-26
홀리데이세븐카페,음식점 > 카페,37.5129078383586,127.028147197866,서울 강남구 논현동 127
카페1257,음식점 > 카페 > 테마카페 > 갤러리카페,37.5125017715862,127.026919818383,서울 강남구 논현동 125-7
카페 마지오레,음식점 > 카페,37.5130338127676,127.028836080696,서울 강남구 논현동 128
카페,음식점 > 카페 > 커피전문점,37.5124358814514,127.02742765134,서울 강남구 논현동 126-13
버터풀카페,음식점 > 카페,37.5124421842766,127.027445750988,서울 강남구 논현동 126-13
카페에이,음식점 > 카페,37.51204815174151,127.0286818748884,서울 강남구 논현동 127-9
로버스트파트너스 유한회사,음식점 > 카페,37.51253690919973,127.0269266175154,서울 강남구 논현동 125-7
피씨엔카페,음식점 > 카페,37.5125369091997,127.026926617515,서울 강남구 논현동 125-7
빽다방 빵연구소 신사사거리점,음식점 > 카페 > 커피전문점 > 빽다방,37.51577571972618,127.0192326751727,서울 서초구 잠원동 20-9
파운드로컬,음식점 > 카페,37.5154372927689,127.016944314144,서울 서초구 잠원동 15-8
카페더비,음식점 > 카페,37.51395120227578,127.01913832511389,서울 서초구 잠원동 27-11
푸엘라카페,음식점 > 카페,37.51519911379085,127.01900743322427,서울 서초구 잠원동 21-1
카페앙지,음식점 > 카페,37.51560134532108,127.01645004673368,서울 서초구 잠원동 15-1
컴포즈커피 신사점,음식점 > 카페 > 커피전문점 > 컴포즈커피,37.51376930342007,127.01848563169806,서울 서초구 잠원동 26-14
아르고보니,음식점 > 카페 > 테마카페 > 디저트카페,37.5141432981038,127.017980117962,서울 서초구 잠원동 26-2
엄마카페,음식점 > 카페,37.5131882262865,127.018029657031,서울 서초구 잠원동 30-1
퀸라이브,음식점 > 카페 > 테마카페 > 라이브카페,37.5149290307112,127.017600249664,서울 서초구 잠원동 19-3
카페쁄라,음식점 > 카페,37.514940746624326,127.0175810233475,서울 서초구 잠원동 19-3
잠원커피,음식점 > 카페 > 커피전문점,37.5135737440153,127.018749129993,서울 서초구 잠원동 29-2
킵커피,음식점 > 카페,37.5144999932431,127.018640774671,서울 서초구 잠원동 26-7
9카페,음식점 > 카페 > 커피전문점,37.5131233663963,127.017948202647,서울 서초구 잠원동 30-2
르파운드,음식점 > 카페 > 테마카페 > 디저트카페,37.5139273114914,127.016223458037,서울 서초구 잠원동 23-12
팔로미노,음식점 > 카페,37.5157255395026,127.017455651637,서울 서초구 잠원동 15-4
루와,음식점 > 카페,37.514800828706,127.019262965219,서울 서초구 잠원동 21-6
귀족커피,음식점 > 카페 > 커피전문점,37.5145909686347,127.018804809166,서울 서초구 잠원동 26-8
수풍정,음식점 > 카페 > 테마카페 > 라이브카페,37.5148290040756,127.017702026966,서울 서초구 잠원동 22-1
젠틀맨,음식점 > 카페,37.5153838501644,127.018816319395,서울 서초구 잠원동 20-8
라이브카페 가을 7080,음식점 > 카페 > 테마카페 > 라이브카페,37.5146388009013,127.018301474079,서울 서초구 잠원동 22-10
킹콩,음식점 > 카페 > 커피전문점,37.5132119079252,127.016269678098,서울 서초구 잠원동 31-3
엘랑(elan),음식점 > 카페,37.5154099756663,127.018838948528,서울 서초구 잠원동 20-8
바비엔,음식점 > 카페,37.5135957312795,127.016301432253,서울 서초구 잠원동 31-21
가을,음식점 > 카페 > 테마카페 > 라이브카페,37.5146550189704,127.01830147804,서울 서초구 잠원동 22-10
파라오,음식점 > 카페 > 테마카페 > 라이브카페,37.514143190701,127.018672356995,서울 서초구 잠원동 26-10
Found cafe,음식점 > 카페,37.5155436228627,127.016862896773,서울 서초구 잠원동 15-8
카페틸다,음식점 > 카페,37.5143990549924,127.0188036299,서울 서초구 잠원동 26-9
UMMACAFE,음식점 > 카페,37.5131738062477,127.018055668746,서울 서초구 잠원동 30-1
카페바루 위드나따오비까,음식점 > 카페,37.5141342873758,127.017984640239,서울 서초구 잠원동 26-2
악어다방,음식점 > 카페,37.5144702413126,127.018759534294,서울 서초구 잠원동 26-9
시티카페,음식점 > 카페,37.5144891790539,127.018654345359,서울 서초구 잠원동 26-7
스타벅스 강남대로신사점,음식점 > 카페 > 커피전문점 > 스타벅스,37.5148458271957,127.019577428193,서울 서초구 잠원동 21-7
스타벅스 신사역성일빌딩점,음식점 > 카페 > 커피전문점 > 스타벅스,37.513933833427465,127.02062233228962,서울 강남구 논현동 18-4
에이엔아더 논현,음식점 > 카페,37.5131110408729,127.021606157672,서울 강남구 논현동 20-14
디저트39 신사역점,음식점 > 카페 > 테마카페 > 디저트카페 > 디저트39,37.5152796537005,127.022165559456,서울 강남구 논현동 16-47
이디야커피 신사멀버리힐스점,음식점 > 카페 > 커피전문점 > 이디야커피,37.514611567701735,127.019568318067,서울 서초구 잠원동 27-2
카페챠챠,음식점 > 카페,37.51465214216129,127.01939074325232,서울 서초구 잠원동 27-2
블랙카페,음식점 > 카페,37.51488252111448,127.02101622334445,서울 강남구 논현동 16-41
차분,음식점 > 카페,37.5154903723637,127.022776431923,서울 강남구 논현동 15-11
이제이스 모자이크,음식점 > 카페,37.5155949922391,127.02223352061,서울 강남구 논현동 16-30
크레이저커피 잠원점,음식점 > 카페,37.5136961138257,127.019771677558,서울 서초구 잠원동 28-1
플레이스나인,음식점 > 카페,37.5158546628395,127.02124724758,서울 강남구 논현동 2-7
카페33,음식점 > 카페,37.5136562524139,127.021029452712,서울 강남구 논현동 20
카페타일,음식점 > 카페,37.515872470591,127.022396486466,서울 강남구 논현동 13-18
청춘커피 신사점,음식점 > 카페 > 커피전문점,37.51588241666001,127.0222109831642,서울 강남구 논현동 3-13
